Safe,IP,Times,Request_method,Request_resource,Request_protocol,Status,Bytes,URL,Label
0,111.206.198.91,28/Apr/2018:01:25:49,GET,/javascript/userMng/UserPanel.js,HTTP/1.1,200,9963,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.107,28/Apr/2018:01:25:50,GET,/javascript/userMng/userMng.js,HTTP/1.1,200,21671,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.124,28/Apr/2018:01:25:50,GET,/javascript/departmentMng/departmentMng.js,HTTP/1.1,200,17312,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.73,28/Apr/2018:01:25:50,GET,/javascript/projectMng/ProjectMngerHoldProjectPanel.js,HTTP/1.1,200,5763,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.20,28/Apr/2018:01:25:49,GET,/javascript/projectMng/DeptMngerHoldProjectPanel.js,HTTP/1.1,200,8271,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.89,28/Apr/2018:01:25:50,GET,/javascript/projectMng/EntMngerHoldProjectPanel.js,HTTP/1.1,200,8233,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.90,28/Apr/2018:01:25:50,GET,/javascript/projectMng/projectMng.js,HTTP/1.1,200,56830,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.9,28/Apr/2018:01:25:50,GET,/javascript/statisticsMng/StatisticsPanel.js,HTTP/1.1,200,11234,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.39,28/Apr/2018:01:25:51,GET,/javascript/statisticsMng/EntJobStatisticsPanel.js,HTTP/1.1,200,8077,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.53,28/Apr/2018:01:25:50,GET,/javascript/statisticsMng/StatisticsMng.js,HTTP/1.1,200,22277,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.24,28/Apr/2018:01:25:50,GET,/javascript/statisticsMng/gridToExcel.js,HTTP/1.1,200,6162,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.4,28/Apr/2018:01:25:50,GET,/javascript/statisticsMng/DeptJobStatisticsPanel.js,HTTP/1.1,200,7329,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.27,28/Apr/2018:01:25:50,GET,/javascript/statisticsMng/EntProjStatisticsPanel.js,HTTP/1.1,200,2776,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.14,28/Apr/2018:01:25:51,GET,/javascript/statisticsMng/DeptProjStatisticsPanel.js,HTTP/1.1,200,2735,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.75,28/Apr/2018:01:25:51,GET,/javascript/statisticsMng/EngineerJobStatisticsPanel.js,HTTP/1.1,200,7380,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.115,28/Apr/2018:01:25:51,GET,/javascript/statisticsMng/EngineerProjStatisticsPanel.js,HTTP/1.1,200,2680,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.125,28/Apr/2018:01:25:51,GET,/javascript/rightMng/RightMng.js,HTTP/1.1,200,3001,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
