Safe,IP,Times,Request_method,Request_resource,Request_protocol,Status,Bytes,Url,Label
0,111.206.221.98,28/Apr/2018:09:24:55,GET,/javascript/question/SingleQuestion.js,HTTP/1.1,200,16755,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.98,29/Apr/2018:01:25:50,GET,/javascript/statisticsMng/EntProjStatisticsPanel.js,HTTP/1.1,200,2776,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.46,28/Apr/2018:09:24:56,GET,/javascript/question/AskWin.js,HTTP/1.1,200,5126,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.46,28/Apr/2018:09:24:57,GET,/javascript/license/softwareLicense.js,HTTP/1.1,200,4938,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.46,28/Apr/2018:17:25:34,GET,/javascript/job/swfobject.js,HTTP/1.1,200,6445,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.46,29/Apr/2018:01:25:48,GET,/javascript/question/FAQGrid.js,HTTP/1.1,200,2195,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.22,28/Apr/2018:09:24:55,GET,/javascript/question/SccQuestion.js,HTTP/1.1,200,17613,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.22,30/Apr/2018:09:26:33,GET,/javascript/rightMng/RightMng.js,HTTP/1.1,200,3001,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.22,30/Apr/2018:17:25:24,GET,/javascript/ux/StatusBar.js,HTTP/1.1,200,1930,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.22,30/Apr/2018:17:25:25,GET,/javascript/statisticsMng/EntProjStatisticsPanel.js,HTTP/1.1,200,2776,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.8,28/Apr/2018:09:24:56,GET,/javascript/job/jobOperation.js,HTTP/1.1,200,927,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.8,29/Apr/2018:09:25:06,GET,/extjs/ext-all-debug.js,HTTP/1.1,200,520667,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.8,29/Apr/2018:17:26:05,GET,/javascript/fileMng/FileSupport.js,HTTP/1.1,200,126192,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.6,28/Apr/2018:09:24:55,GET,/javascript/job/swfobject.js,HTTP/1.1,200,6445,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.6,28/Apr/2018:09:24:55,GET,/javascript/statisticsMng/DeptProjStatisticsPanel.js,HTTP/1.1,200,2735,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.6,28/Apr/2018:17:25:34,GET,/javascript/question/AskWin.js,HTTP/1.1,200,5126,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.6,29/Apr/2018:09:25:06,GET,/javascript/job/swfobject.js,HTTP/1.1,200,6445,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.44,28/Apr/2018:09:24:55,GET,/fusionCharts/FusionCharts.js,HTTP/1.1,200,110586,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.44,29/Apr/2018:17:26:05,GET,/javascript/deployJava.js,HTTP/1.1,200,13393,http://xfinity.net.cn/index.do,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.13,28/Apr/2018:09:24:56,GET,/javascript/userMng/userMng.js,HTTP/1.1,200,21671,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.13,30/Apr/2018:01:27:09,GET,/javascript/systemSettings/emailPanel.js,HTTP/1.1,200,3879,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.13,30/Apr/2018:17:25:23,GET,/javascript/userMng/LicenseManage.js,HTTP/1.1,200,3561,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.51,28/Apr/2018:09:24:56,GET,/javascript/statisticsMng/EngineerProjStatisticsPanel.js,HTTP/1.1,200,2680,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.51,28/Apr/2018:17:25:34,GET,/javascript/question/QuestionWindow.js,HTTP/1.1,200,4382,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.51,28/Apr/2018:17:25:34,GET,/javascript/userMng/PersonalInfoPanel.js,HTTP/1.1,200,5947,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.51,29/Apr/2018:01:25:48,GET,/javascript/job/jobOperation.js,HTTP/1.1,200,927,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.51,29/Apr/2018:09:25:05,GET,/javascript/question/SccQuestionGrid.js,HTTP/1.1,200,2548,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.51,29/Apr/2018:17:26:05,GET,/javascript/desktop/Module.js,HTTP/1.1,200,173,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.51,30/Apr/2018:09:26:33,GET,/javascript/projectMng/projectMng.js,HTTP/1.1,200,56830,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.51,30/Apr/2018:09:26:33,GET,/javascript/systemSettings/systemSettings.js,HTTP/1.1,200,4081,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.9,28/Apr/2018:09:24:56,GET,/javascript/cmdMng/CmdPanel.js,HTTP/1.1,200,3272,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.9,29/Apr/2018:01:25:49,GET,/javascript/share/selectCluster.js,HTTP/1.1,200,3054,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.9,29/Apr/2018:09:25:06,GET,/javascript/projectMng/ProjectMngerHoldProjectPanel.js,HTTP/1.1,200,5763,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.84,28/Apr/2018:09:24:56,GET,/javascript/help/help.js,HTTP/1.1,200,10883,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.68,28/Apr/2018:09:24:56,GET,/javascript/rdp/rdp.js,HTTP/1.1,200,10302,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.68,29/Apr/2018:09:25:05,GET,/javascript/question/ApplicationQuestionGrid.js,HTTP/1.1,200,2867,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.68,30/Apr/2018:17:25:23,GET,/javascript/fileMng/TxtEditorUtil.js,HTTP/1.1,200,5231,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.68,30/Apr/2018:17:25:24,GET,/javascript/userMng/UserPanelByEntMnger.js,HTTP/1.1,200,8836,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.68,30/Apr/2018:17:25:25,GET,/javascript/projectMng/EntMngerHoldProjectPanel.js,HTTP/1.1,200,8233,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,192.168.50.198,28/Apr/2018:09:36:48,GET,/,HTTP/1.1,302,-,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1 Safari/605.1.15"
0,192.168.50.198,28/Apr/2018:09:36:48,GET,/index.do,HTTP/1.1,200,26224,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1 Safari/605.1.15"
0,192.168.50.198,28/Apr/2018:09:36:48,GET,/shared/login/global.css,HTTP/1.1,200,861,http://192.168.155.108/index.do,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1 Safari/605.1.15"
0,192.168.50.198,28/Apr/2018:09:36:48,GET,/shared/login/text_dotmaclogin_t.gif,HTTP/1.1,200,5677,http://192.168.155.108/index.do,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1 Safari/605.1.15"
0,192.168.50.198,28/Apr/2018:09:36:48,GET,/shared/login/tooltiparrow.gif,HTTP/1.1,200,340,http://192.168.155.108/index.do,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1 Safari/605.1.15"
0,192.168.50.198,28/Apr/2018:09:36:48,GET,/shared/login/android.png,HTTP/1.1,200,13411,http://192.168.155.108/index.do,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1 Safari/605.1.15"
